id,kind,text,roman,file
alif,names,الف,alif,names/alif.wav
be,names,بے,be,names/be.wav
kaf,names,کاف,kāf,names/kaf.wav
lam,names,لام,lām,names/lam.wav
mim,names,میم,mīm,names/mim.wav
nun,names,نون,nūn,names/nun.wav
te,names,تے,te,names/te.wav
choti_ye,names,چھوٹی یے,choṭī ye,names/choti_ye.wav
bari_ye,names,بڑی یے,baṛī ye,names/bari_ye.wav
pe,names,پے,pe,names/pe.wav
tte,names,ٹے,ṭe,names/tte.wav
se,names,ثے,s̱e,names/se.wav
wao,names,واؤ,wāʾo,names/wao.wav
re,names,رے,re,names/re.wav
dal,names,دال,dāl,names/dal.wav
he,names,ہے / گول ہے,choṭī he (gol he),names/he.wav
sin,names,سین,sīn,names/sin.wav
shin,names,شین,shīn,names/shin.wav
jim,names,جیم,jīm,names/jim.wav
che,names,چے,che,names/che.wav
gaf,names,گاف,gāf,names/gaf.wav
nun_ghunna,names,نون غنہ,nūn g͟hunna,names/nun_ghunna.wav
do_chashmi_he,names,دو چشمی ہے,do-chashmī he,names/do_chashmi_he.wav
ddal,names,ڈال,ḍāl,names/ddal.wav
rre,names,ڑے,ṛe,names/rre.wav
ze,names,زے,ze,names/ze.wav
zhe,names,ژے,zhe,names/zhe.wav
fe,names,فے,fe,names/fe.wav
qaf,names,قاف,qāf,names/qaf.wav
khe,names,خے,k͟he,names/khe.wav
ghain,names,غین,g͟hain,names/ghain.wav
ain,names,عین,ʻain,names/ain.wav
bari_he,names,بڑی حے,baṛī ḥe,names/bari_he.wav
swad,names,صاد,ṣwād,names/swad.wav
zwad,names,ضاد,ẓwād,names/zwad.wav
toe,names,طوے,t̤oʼe,names/toe.wav
zoe,names,ظوے,z̤oʼe,names/zoe.wav
zal,names,ذال,ẕāl,names/zal.wav
hamza,names,ہمزہ,hamza,names/hamza.wav
alif,words,اب,ab,words/alif.wav
be,words,بابا,bābā,words/be.wav
kaf,words,کام,kām,words/kaf.wav
lam,words,لال,lāl,words/lam.wav
mim,words,مکان,makān,words/mim.wav
nun,words,نام,nām,words/nun.wav
te,words,تین,tīn,words/te.wav
choti_ye,words,یار,yār,words/choti_ye.wav
bari_ye,words,لے,le,words/bari_ye.wav
pe,words,پانی,pānī,words/pe.wav
tte,words,ٹوپی,ṭopī,words/tte.wav
se,words,ثمر,s̱amar,words/se.wav
wao,words,وہ,woh,words/wao.wav
re,words,رات,rāt,words/re.wav
dal,words,دو,do,words/dal.wav
he,words,ہم,ham,words/he.wav
sin,words,سال,sāl,words/sin.wav
shin,words,شام,shām,words/shin.wav
jim,words,جوتا,jūtā,words/jim.wav
che,words,چار,chār,words/che.wav
gaf,words,گلاب,gulāb,words/gaf.wav
nun_ghunna,words,میں,maiṉ,words/nun_ghunna.wav
do_chashmi_he,words,گھر,ghar,words/do_chashmi_he.wav
ddal,words,ڈاک,ḍāk,words/ddal.wav
rre,words,لڑکا,laṛkā,words/rre.wav
ze,words,زبان,zabān,words/ze.wav
zhe,words,ژالہ,zhāla,words/zhe.wav
fe,words,فرش,farsh,words/fe.wav
qaf,words,قلم,qalam,words/qaf.wav
khe,words,خط,k͟hat,words/khe.wav
ghain,words,غریب,g͟harīb,words/ghain.wav
ain,words,عمر,ʻumr,words/ain.wav
bari_he,words,حال,ḥāl,words/bari_he.wav
swad,words,صبح,ṣubḥ,words/swad.wav
zwad,words,ضرور,ẓarūr,words/zwad.wav
toe,words,طوطا,t̤ot̤ā,words/toe.wav
zoe,words,ظاہر,z̤āhir,words/zoe.wav
zal,words,ذائقہ,ẕāʾiqa,words/zal.wav
hamza,words,کوئی,koʾī,words/hamza.wav
be_a,syllables,با,,syllables/be_a.wav
be_i,syllables,بی,,syllables/be_i.wav
be_u,syllables,بو,,syllables/be_u.wav
kaf_a,syllables,کا,,syllables/kaf_a.wav
kaf_i,syllables,کی,,syllables/kaf_i.wav
kaf_u,syllables,کو,,syllables/kaf_u.wav
lam_a,syllables,لا,,syllables/lam_a.wav
lam_i,syllables,لی,,syllables/lam_i.wav
lam_u,syllables,لو,,syllables/lam_u.wav
mim_a,syllables,ما,,syllables/mim_a.wav
mim_i,syllables,می,,syllables/mim_i.wav
mim_u,syllables,مو,,syllables/mim_u.wav
nun_a,syllables,نا,,syllables/nun_a.wav
nun_i,syllables,نی,,syllables/nun_i.wav
nun_u,syllables,نو,,syllables/nun_u.wav
te_a,syllables,تا,,syllables/te_a.wav
te_i,syllables,تی,,syllables/te_i.wav
te_u,syllables,تو,,syllables/te_u.wav
pe_a,syllables,پا,,syllables/pe_a.wav
pe_i,syllables,پی,,syllables/pe_i.wav
pe_u,syllables,پو,,syllables/pe_u.wav
tte_a,syllables,ٹا,,syllables/tte_a.wav
tte_i,syllables,ٹی,,syllables/tte_i.wav
tte_u,syllables,ٹو,,syllables/tte_u.wav
se_a,syllables,ثا,,syllables/se_a.wav
se_i,syllables,ثی,,syllables/se_i.wav
se_u,syllables,ثو,,syllables/se_u.wav
re_a,syllables,را,,syllables/re_a.wav
re_i,syllables,ری,,syllables/re_i.wav
re_u,syllables,رو,,syllables/re_u.wav
dal_a,syllables,دا,,syllables/dal_a.wav
dal_i,syllables,دی,,syllables/dal_i.wav
dal_u,syllables,دو,,syllables/dal_u.wav
he_a,syllables,ہا,,syllables/he_a.wav
he_i,syllables,ہی,,syllables/he_i.wav
he_u,syllables,ہو,,syllables/he_u.wav
sin_a,syllables,سا,,syllables/sin_a.wav
sin_i,syllables,سی,,syllables/sin_i.wav
sin_u,syllables,سو,,syllables/sin_u.wav
shin_a,syllables,شا,,syllables/shin_a.wav
shin_i,syllables,شی,,syllables/shin_i.wav
shin_u,syllables,شو,,syllables/shin_u.wav
jim_a,syllables,جا,,syllables/jim_a.wav
jim_i,syllables,جی,,syllables/jim_i.wav
jim_u,syllables,جو,,syllables/jim_u.wav
che_a,syllables,چا,,syllables/che_a.wav
che_i,syllables,چی,,syllables/che_i.wav
che_u,syllables,چو,,syllables/che_u.wav
gaf_a,syllables,گا,,syllables/gaf_a.wav
gaf_i,syllables,گی,,syllables/gaf_i.wav
gaf_u,syllables,گو,,syllables/gaf_u.wav
ddal_a,syllables,ڈا,,syllables/ddal_a.wav
ddal_i,syllables,ڈی,,syllables/ddal_i.wav
ddal_u,syllables,ڈو,,syllables/ddal_u.wav
